Time resolution is 1 ps
===============================================================
Time(ns)	Alpha	P0	P1	MuxSel	Locked	Pf
===============================================================
[220000 ns] Clock wizard locked!

=== Alpha = 0 ===
230000	0	128	195	1	x	0
240000	0	186	207	1	x	0
250000	0	223	189	1	x	0
260000	0	223	148	1	x	0
270000	0	186	99	1	x	0
280000	0	128	61	0	x	0
290000	0	70	49	0	x	0
300000	0	33	67	0	x	0
310000	0	33	108	0	x	0
320000	0	70	157	0	x	0
330000	0	128	195	1	x	0
340000	0	186	207	1	x	0
350000	0	223	189	1	x	0
360000	0	223	148	1	x	0
370000	0	186	99	1	x	0
380000	0	128	61	0	x	0
390000	0	70	49	0	x	0
400000	0	33	67	0	x	0
410000	0	33	108	0	x	0
420000	0	70	157	0	x	0

=== Alpha = 51 ===
430000	51	128	195	1	x	0
440000	51	186	207	1	x	0
450000	51	223	189	1	x	0
460000	51	223	148	1	x	0
470000	51	186	99	1	x	0
480000	51	128	61	0	x	0
490000	51	70	49	0	x	0
500000	51	33	67	0	x	0
510000	51	33	108	0	x	0
520000	51	70	157	0	x	0
530000	51	128	195	1	x	0
540000	51	186	207	1	x	0
550000	51	223	189	1	1	0
560000	51	223	148	1	1	0
570000	51	186	99	1	1	0
580000	51	128	61	0	1	0
590000	51	70	49	0	1	0
600000	51	33	67	0	1	0
610000	51	33	108	0	1	185
620000	51	70	157	0	1	185

=== Alpha = 102 ===
630000	102	128	195	1	1	183
640000	102	186	207	1	1	183
650000	102	223	189	1	1	32
660000	102	223	148	1	1	32
670000	102	186	99	1	1	127
680000	102	128	61	0	1	127
690000	102	70	49	0	1	93
700000	102	33	67	0	1	93
710000	102	33	108	0	1	244
720000	102	70	157	0	1	244
730000	102	128	195	1	1	242
740000	102	186	207	1	1	242
750000	102	223	189	1	1	32
760000	102	223	148	1	1	32
770000	102	186	99	1	1	127
780000	102	128	61	0	1	127
790000	102	70	49	0	1	93
800000	102	33	67	0	1	93
810000	102	33	108	0	1	244
820000	102	70	157	0	1	244

=== Alpha = 153 ===
830000	153	128	195	1	1	242
840000	153	186	207	1	1	242
850000	153	223	189	1	1	32
860000	153	223	148	1	1	32
870000	153	186	99	1	1	127
880000	153	128	61	0	1	127
890000	153	70	49	0	1	93
900000	153	33	67	0	1	93
910000	153	33	108	0	1	244
920000	153	70	157	0	1	244
930000	153	128	195	1	1	242
940000	153	186	207	1	1	242
950000	153	223	189	1	1	32
960000	153	223	148	1	1	32
970000	153	186	99	1	1	127
980000	153	128	61	0	1	127
990000	153	70	49	0	1	93
1000000	153	33	67	0	1	93
